符合條件商品
資料日期：2024年  9月 10日
策略,	三率
"序號","代碼","商品","成交","漲幅%","總量","稅後淨利率","營業毛利率",營業利益率
1	,"1108.TW","幸福","14.6","1.04","293","10.9","20.73",14.16
2	,"1229.TW","聯華","59.9","-0.33","874","46.94","29.98",21.34
3	,"1316.TW","上曜","17.75","-3.53","8907","17.03","37.13",11.16
4	,"1468.TW","昶和","13.35","1.14","35","24.32","25.43",11.7
5	,"1532.TW","勤美","37.8","0.27","2229","15.54","27.91",17.26
6	,"1537.TW","廣隆","144.5","0.35","236","12.76","22.62",15.2
7	,"1582.TW","信錦","112","-0.88","7631","13.66","30.6",17.24
8	,"1590.TW","亞德客-KY","763","-1.68","815","26.83","47.33",31.42
9	,"1612.TW","宏泰","32.75","-1.8","878","15.53","18.85",15.46
10	,"1708.TW","東鹼","39.2","0.38","4204","17.85","35.08",21.99
11	,"1795.TW","美時","278","-2.28","2521","28.07","60.7",34.43
12	,"1808.TW","潤隆","123","-1.6","3548","32.76","47.63",38.42
13	,"2367.TW","燿華","32.7","-4.39","15503","10.92","20.91",10.8
14	,"2375.TW","凱美","63.8","-2.74","268","13.37","21.52",11.42
15	,"2379.TW","瑞昱","489","-1.21","1755","14.3","50.88",12.95
16	,"2404.TW","漢唐","341.5","-1.3","580","10.55","13.42",10.62
17	,"2412.TW","中華電","124","0.4","5031","18.68","38.49",22.04
18	,"2603.TW","長榮","177.5","-0.84","11786","28.75","33.75",30.73
19	,"2609.TW","陽明","59.8","-1.32","20872","26.55","31.59",26.87
20	,"2615.TW","萬海","74.1","-1.46","10299","30.32","32.45",28.49
21	,"3005.TW","神基","106.5","-4.05","2794","14.1","32.69",15.14
22	,"3130.TW","一零四","227","0","18","22.86","88.07",27.01
23	,"3188.TW","鑫龍騰","39.25","-4.73","1416","26.79","51.28",35.3
24	,"3228.TW","金麗科","240.5","1.26","1041","26.53","79.07",27.18
25	,"3284.TW","太普高","49.85","-4.32","1329","22.76","45.66",36.74
26	,"3357.TW","臺慶科","127","-3.79","508","14.51","23.87",10.59
27	,"3450.TW","聯鈞","164","-2.38","3559","10.04","23.15",12.85
28	,"3611.TW","鼎翰","224.5","0.45","145","11.04","33.45",12.77
